clinicid,hospitalname,IsHospital,City,Province,RegionName
77EE3BC58CE560B86C2B59363281E914,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
98C39996BF1543E974747A2549B3107C,Our Lady of Lourdes Hospital,True,Manila,Manila,NCR
9AEADE7BEADA35C83D3B344FBAFE43B0,Makati Medical Center,True,Makati,Manila,NCR
FDBD31F2027F20378B1A80125FC862DB,Cardinal Santos Medical Center,True,San Juan,Manila,NCR
D19544AE709580379CD2523B0E72C86D,Butuan Doctor's Hospital,True,Butuan City,Agusan del Norte,XIII
6018DF1842F7130F1B85A6F8E911B96B,Batanes General Hospital,True,Basco,Batanes,II
BFF624C3A469DCE7C45CE151902222BA,Dr. Jose Fabella Memorial Hospital,True,Manila,Manila,NCR
8EA1E4F9F24C38F168D538C9CFC50A14,De Los Santos Medical Center,True,Quezon City,Manila,NCR
3F62D610ADAC92BBF2996BB4D8FF7657,St. Martin De Porres Charity Hospital,True,San Juan,Manila,NCR
C06DEBB249D4E75425C7F2C2C9E96A5C,Chong Hua Hospital Mandaue and Cancer Centre,True,Mandaue City,Cebu,VII
AB50C20083212EEDC22511B8D88070DC,Cebu Metro Psych Facility,True,Mandaue City,Cebu,VII
6458D57B1AC0E64EC7CC326FC0F8D8B9,The Medical City-South Luzon,True,Santa Rosa City,Laguna,IV-A
BC8D6ABA5ADBF273ABC6C98A41BEE213,Lorma Medical Center,True,San Fernando City,La Union,I
03056AA23AA837B508C6B305AEBE1E3E,"Adventist Hospital Santiago City, Inc.",True,Santiago City,Isabela,II
B22B257AD0519D4500539DA3C8BCF4DD,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
131F383B434FDF48079BFF1E44E2D9A5,De Los Santos Medical Center,True,Quezon City,Manila,NCR
B986700C627DB479A4D9460B75DE7222,Diane's Maternity and Lying-in Hospital,True,Batangas City,Batangas,IV-A
C929F2210333206F417E3862F431776D,University of Santo Tomas Hospital,True,Manila,Manila,NCR
1E51E0F3B6B60070219CCB91BB619A6B,Makati Medical Center,True,Makati,Manila,NCR
2CFA8F9E50E0F510EDE9D12338A5F564,Amisola Maternity Hospital,True,Manila,Manila,NCR
747C1BCCEB6109A4EF936BC70CFE67DE,Clinica Arellano General Hospital,True,Manila,Manila,NCR
C7B3F097F4810CBB3C4B18C09AB893BC,Clinica Arellano General Hospital,True,Manila,Manila,NCR
FC1F073FE91403F00D2219185FDEA79B,East Ave. Medical Center,True,Quezon City,Manila,NCR
865BF46435BD84FA5D89F64CF3BA7347,Mary Chiles General Hospital,True,Manila,Manila,NCR
FCA758E52635DF5A640F7063DDB9CDCB,Unciano General Hospital,True,Manila,Manila,NCR
5B9373FC169106C43C99CFAE04989986,Medicus Medical Center,True,Iloilo City,Iloilo,VI
969A086E0717A9B496DD0E9A50EC8010,A. Zarate General Hospital,True,Las Piñas,Manila,NCR
AAED7B69F91419F57022CBD9BD0A4224,Healthway Manila,True,Manila,Manila,NCR
9FBEA88C76D0E1FCA62216774396348A,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
1404D2D16AB402E5A4B412400EBB2307,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
E25CFA90F04351958216F97E3EFDABE9,Golden Acres Doctors' Hospital,True,Las Piñas,Manila,NCR
E8258E5140317FF36C7F8225A3BF9590,Dela Cruz Well Family Midwife Clinic,True,Malabon,Manila,NCR
136C2F0599B3A0175C544B72E4861B9F,Amisola Maternity Hospital,True,Manila,Manila,NCR
7A576629FEF88F3E636AFD33B09E8289,Amisola Maternity Hospital,True,Manila,Manila,NCR
AB6B331E94C28169D15CCA0CB3BBC73E,Amisola Maternity Hospital,True,Manila,Manila,NCR
68331FF0427B551B68E911EEBE35233B,"Canossa Health and Social Center Foundation, Inc.",True,Manila,Manila,NCR
3DEA6B598A16B334A53145E78701FA87,"Canossa Health and Social Center Foundation, Inc.",True,Manila,Manila,NCR
360C19682E81F21D55846685C1701179,Amisola Maternity Hospital,True,Manila,Manila,NCR
3D65824C0A13E8417758EA807A431500,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
57CB680116490A4C6C0BB57A8FA476F1,Healthway Manila,True,Manila,Manila,NCR
70A76CFA6EAAB7715104A01C9FA47620,Alabang Medical Clinic,True,Muntinlupa,Manila,NCR
5F3DE53FBAB794234589DFF4E8EBF060,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
AEFB4027BC1463273DEAF0B90B53A694,Healthway Manila,True,Manila,Manila,NCR
5EAACD48C2E34FD21991B351B35E8AED,The Black Nazarene Hospital Inc.,True,San Nicolas,Ilocos Norte,I
F67B893872A69AA31206C2DAA3B27E13,Chong Hua Hospital,True,Cebu City,Cebu,VII
DAAC05DD6B717BCD0ECEDD8400830BDA,Hernandez General Hospital,True,Caloocan,Manila,NCR
CE3E0C75F7E8A5B4C78A0AC050B73BBD,Golden Acres Doctors' Hospital,True,Las Piñas,Manila,NCR
55D99A37B2E1BADBA7C8DF4CCD506A88,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
FBAD540B2F3B5638A9BE9AA6A4D8E450,Amisola Maternity Hospital,True,Manila,Manila,NCR
B3848D61BBBC6207C6668A8A9E2730ED,Amisola Maternity Hospital,True,Manila,Manila,NCR
137FFEA9336F8B47A66439FC34E981EE,University of Perpetual Help Dalta Medical Center,True,Las Piñas,Manila,NCR
98B17F068D5D9B7668E19FB8AE470841,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
B299AD862B6F12CB57679F0538ECA514,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
5E6D27A7A8A8330DF4B53240737CCC85,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
20C86A628232A67E7BD46F76FBA7CE12,"Nueva Ecija Good Samaritan Health Care System, Inc. (Cabanatuan City)",True,Cabanatuan City,Nueva Ecija,III
6DE4BFE9504589A457D6E92FAE4F9613,Tricity Medical Center,True,Pasig,Manila,NCR
DF8A6AA94E8B9DAFAFB2761BE5C197C5,Ortigas Hospital and Healthcare Center,True,Cainta,Rizal,IV-A
45C166D697D65080D54501403B433256,Cardinal Santos Medical Center,True,San Juan,Manila,NCR
CE47BE4ABD80AC324C645FD57A27FC73,Philippine Orthopedic Center,True,Quezon City,Manila,NCR
707651F9A32DD3AD7A65723C4E42FF84,Providence Hospital,True,Quezon City,Manila,NCR
59DFA2DF42D9E3D41F5B02BFC32229DD,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
BA95D78A7C942571185308775A97A3A0,The Medical City,True,Pasig,Manila,NCR
2552A7B886C1710F36BE92AC29B1362D,Cardinal Santos Medical Center,True,San Juan,Manila,NCR
9EF2ED4B7FD2C810847FFA5FA85BCE38,Mandaluyong City Medical Center,True,Mandaluyong,Manila,NCR
211ED78FE91938B90F84A51944B08D5A,Mandaluyong City Medical Center,True,Mandaluyong,Manila,NCR
7A02741932BB4C9D3920FBC2F4B6080F,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
35DCD930DF68A3B6194AD8764644721D,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
0600A0A781EF786550E9CC2829E400B3,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
A66B2ECB853ED5851A778F3E48AD59D5,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
8051A3C40561002834E59D566B7430CF,National Kidney and Transplant Institute,True,Quezon City,Manila,NCR
D9896106CA98D3D05B8CBDF4FD8B13A1,UP-Philippine General Hospital,True,Manila,Manila,NCR
3EB414BF1C2A66A09C185D60553417B8,Victor R. Potenciano Medical Center,True,Mandaluyong,Manila,NCR
E96C7DE8F6390B1E6C71556E4E0A4959,"Gonzales General Hospital, Inc.",True,San Leonardo,Nueva Ecija,III
39AE2ED11B14A4CCB41D35E9D1BA5D11,Mary Johnston Hospital,True,Manila,Manila,NCR
68A9750337A418A86FE06C1991A1D64C,Our Lady of Lourdes Hospital,True,Manila,Manila,NCR
6346DC723395E1EE8EF57F4883BE4CB4,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
DCCAB9BD9E0B69C49302025EFDF19702,National Kidney and Transplant Institute,True,Quezon City,Manila,NCR
CB3213ADA48302953CB0F166464AB356,Makati Medical Center,True,Makati,Manila,NCR
DBC4D84BFCFE2284BA11BEFFB853A8C4,"Sacred Heart Hospital of Malolos, Inc.",True,Malolos City,Bulacan,III
F507783927F2EC2737BA40AFBD17EFB5,Ospital Ng Muntinlupa,True,Muntinlupa,Manila,NCR
CE016F59ECC2366A43E1C96A4774D167,Unihealth-Parañaque Hospital and Medical Center,True,Parañaque,Manila,NCR
C9152E9E5B7ABF2B0FD5E984E44136FB,Makati Medical Center,True,Makati,Manila,NCR
9718DB12CAE6BE37F7349779007EE589,Medical Center Imus,True,Imus City,Cavite,IV-A
05C7AC946880AD7EED28166B478C7277,Cavite East Asia Medical Center,True,Bacoor City,Cavite,IV-A
35A0F1963430DA063133BA27D695F851,Asia Medic Family Hospital and Medical Clinic,True,Dasmariñas City,Cavite,IV-A
1E747DDBEA997A1B933AAF58A7953C3C,Emilio Aguinaldo College Medical Center of Cavite,True,Dasmariñas City,Cavite,IV-A
AC0B236E346DA355400A90FCC7E28BE6,Velazco Hospital,True,Silang,Cavite,IV-A
8D30AA96E72440759F74BD2306C1FA3D,St. Clare's Medical Center,True,Makati,Manila,NCR
79BFD663E0BE2A5171A183B3356EC9A3,QualiMed Hospital (Altaraza),True,San Jose del Monte City,Bulacan,III
0EF4DA93C99F2A32F9C97329FBF4E342,Camarin Doctors Hospital,True,Caloocan,Manila,NCR
270E376D0CB0BC15EBFE8B2E1E338BEF,Brigino General Hospital,True,San Jose del Monte City,Bulacan,III
A6E813BFD3BAD8A6F142ED29D4A88558,North Caloocan Doctors' Hospital,True,Caloocan,Manila,NCR
D958628E70134D9E1E17499A9D815A71,Manila East Medical Center,True,Taytay,Rizal,IV-A
A6048D1B9C95215F08F9E7FA350E12D5,Marikina Valley Medical Center,True,Marikina,Manila,NCR
0C4CF62204433859B1F8DA8F149DD0CA,Antipolo Doctors Hospital,True,Antipolo City,Rizal,IV-A
A376802C0811F1B9088828288EB0D3F0,Makati Medical Center,True,Makati,Manila,NCR
1B356667C9A682F8B0215D9D16D286FE,Asian Hospital and Medical Center,True,Muntinlupa,Manila,NCR
085E0BFFD51EFE0E0B96E5F50A18A300,QualiMed Clinic (Sta. Rosa),True,Santa Rosa City,Laguna,IV-A
4F11B55F57612F06FE9638B99F6C66E6,East Ave. Medical Center,True,Quezon City,Manila,NCR
22C5A901070D1C2AD33E821D071AE97E,Commonwealth Hospital and Medical Center,True,Quezon City,Manila,NCR
300D1539C3B6AA1793B5678B857732CF,Pacific Global Medical Center,True,Quezon City,Manila,NCR
C4B43AE017AF4001C5193D310BF00942,Makati Medical Center,True,Makati,Manila,NCR
D77E68596C15C53C2A33AD143739902D,St. Luke's Medical Center-Quezon City,True,Quezon City,Manila,NCR
7D3E28D14440D6C07F73B7557E3D9602,Metro Davao Medical and Research Center,True,Davao City,Davao del Sur,XI
AB96C631D50E81C5F961BCBF25E49475,St. Luke's Medical Center-Global City,True,Taguig,Manila,NCR
7C9C91549DB01DADE28AF2B8D897536A,"Madonna General Hospital, Inc.",True,Kidapawan City,Cotabato,XII
6B620AEDFA4CF153467265629501DD61,Borja Family Hospital Corporation,True,Tagbilaran City,Bohol,VII
77DA2F07ED6C94AFA27B5F113BEA7EBE,City of General Trias Doctors Medical Center,True,General Trias,Cavite,IV-A
70F250E2D762FBDE8A2E70EABF6EB953,Tricity Medical Center,True,Pasig,Manila,NCR
40D300970074F93E6A14657860750219,Capitol Medical Center,True,Quezon City,Manila,NCR
A22D33B4A00C165507A61F3BED4B5149,Chong Hua Hospital,True,Cebu City,Cebu,VII
92FDE850D824C2BA9B563CB6FA4078C3,Cebu (Velez) General Hospital,True,Cebu City,Cebu,VII
45A766FA266EA2EBEB6680FA139D2A3D,Cebu (Velez) General Hospital,True,Cebu City,Cebu,VII
6E0917469214D8FBD8C517DCDC6B8DCF,Chong Hua Hospital,True,Cebu City,Cebu,VII
1E0F65EB20ACBFB27EE05DDC000B50EC,Chong Hua Hospital Mandaue and Cancer Centre,True,Mandaue City,Cebu,VII
